更新时间: 2026-04-10 13:51:03（北京时间）

更新时间,#genre#
2026-04-10 13:51:03,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV11,http://106.116.240.74:9999/rtp/239.254.201.123:8120$河北省电信
CCTV11,http://171.8.84.159:8800/rtp/239.16.20.11:10110$河南电信
CCTV12,http://183.164.55.112:5000/rtp/238.1.78.242:7808$安徽电信
CCTV12,http://111.193.235.246:8888/rtp/239.3.1.64:8124$北京市联通
CCTV12,http://182.135.34.97:888/rtp/239.94.0.12:5140$四川电信
CCTV12,http://106.116.240.74:9999/rtp/239.254.200.161:6000$河北省电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
CCTV13,http://183.164.55.112:5000/rtp/238.1.79.35:4392$安徽电信
CCTV13,http://111.193.235.246:8888/rtp/239.3.1.124:8128$北京市联通
CCTV13,http://182.135.34.97:888/rtp/239.94.0.13:5140$四川电信
CCTV13,http://182.135.34.97:888/rtp/239.94.0.37:5140$四川电信
CCTV13,http://106.116.240.74:9999/rtp/239.254.200.9:8264$河北省电信
CCTV13,http://171.8.84.159:8800/rtp/239.16.20.13:10130$河南电信
CCTV14,http://183.164.55.112:5000/rtp/238.1.78.243:7816$安徽电信
CCTV14,http://111.193.235.246:8888/rtp/239.3.1.65:8132$北京市联通
CCTV14,http://182.135.34.97:888/rtp/239.94.0.14:5140$四川电信
CCTV14,http://106.116.240.74:9999/rtp/239.254.200.162:6000$河北省电信
CCTV14,http://171.8.84.159:8800/rtp/239.16.20.14:10140$河南电信
CCTV15,http://183.164.55.112:5000/rtp/238.1.78.222:7648$安徽电信
CCTV15,http://111.193.235.246:8888/rtp/239.3.1.153:8136$北京市联通
CCTV15,http://182.135.34.97:888/rtp/239.94.0.15:5140$四川电信
CCTV15,http://182.135.34.97:888/rtp/239.94.0.38:5140$四川电信
CCTV15,http://106.116.240.74:9999/rtp/239.254.201.124:8136$河北省电信
CCTV15,http://171.8.84.159:8800/rtp/239.16.20.15:10150$河南电信
CCTV16,http://111.193.235.246:8888/rtp/239.3.1.184:8001$北京市联通
CCTV16,http://111.193.235.246:8888/rtp/239.3.1.183:8001$北京市联通
CCTV16,http://106.116.240.74:9999/rtp/239.254.200.61:6344$河北省电信
CCTV17,http://183.164.55.112:5000/rtp/238.1.78.178:7296$安徽电信
CCTV17,http://111.193.235.246:8888/rtp/239.3.1.151:8144$北京市联通
CCTV17,http://182.135.34.97:888/rtp/239.94.0.39:5140$四川电信
CCTV17,http://182.135.34.97:888/rtp/239.94.0.17:5140$四川电信
CCTV17,http://106.116.240.74:9999/rtp/239.254.201.120:8144$河北省电信
CCTV17,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV4K,http://183.164.55.112:5000/rtp/238.1.78.137:6968$安徽电信
CCTV4K,http://111.193.235.246:8888/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://111.193.235.246:8888/rtp/239.3.1.245:2000$北京市联通
CCTV4K,http://182.135.34.97:888/rtp/239.94.0.20:5140$四川电信
CCTV4K,http://106.116.240.74:9999/rtp/239.254.200.122:7266$河北省电信
兵器科技,http://183.164.55.112:5000/rtp/238.1.79.56:4584$安徽电信
兵器科技,http://106.116.240.74:9999/rtp/239.254.201.225:7249$河北省电信
风云音乐,http://183.164.55.112:5000/rtp/238.1.79.64:4648$安徽电信
风云音乐,http://106.116.240.74:9999/rtp/239.254.201.221:7259$河北省电信
